card_id,cost,provides,type,card_name,age,card_weight,Reason,discard_weight
1,-,1x_Wood,raw_material,Lumber_Yard,1,4*,raw_material < 2? weight = 4 : 1 (monopoly of wood),2
2,-,1x_Stone,raw_material,Stone_Pit,1,3*,raw_material < 2? weight = 3 : 1,
3,-,1x_Clay,raw_material,Clay_Pool,1,3*,raw_material < 2? weight = 3 : 1,
4,-,1x_Ore,raw_material,Ore_Vein,1,3*,raw_material < 2? weight = 3: 1,
5,1x_Coin,1x_Wood_OR_1x_Clay,raw_material,Tree_Farm,1,3*,raw_material < 2? weight = 3 : 1,
6,1x_Coin,1x_Stone_OR_1x_Clay,raw_material,Excavation,1,3*,raw_material < 2? weight = 3 : 1,
7,1x_Coin,1x_Clay_OR_1x_Ore,raw_material,Clay_Pit,1,5*,best card of Age 1 for military BUT IF starts with Rhodes or Babylon ? weight = 3,
8,1x_Coin,1x_Stone_OR_1x_Wood,raw_material,Timber_Yard,1,3*,starts with Rhodes or Babylon ? weight = 5 || raw_material < 3? weight = 3,
9,1x_Coin,1x_Wood_OR_1x_Ore,raw_material,Forest_Cave,1,3*,raw_material < 2? weight = 3 : 1,
10,1x_Coin,1x_Ore_OR_1x_Stone,raw_material,Mine,1,3*,raw_material < 2? weight = 3 : 1,
11,1x_Coin,2x_Wood,raw_material,Sawmill,2,2*,you don't have the 1x Wood? weight = 2 : 1 (can be good for monopoly),
12,1x_Coin,2x_Stone,raw_material,Quarry,2,2,Pay attention to a card that produce 2 Stone so you can build Wall,
13,1x_Coin,2x_Clay,raw_material,Brickyard,2,1,Depends on the wonder,
14,1x_Coin,2x_Ore,raw_material,Foundry,2,1,Depends on the wonder,
15,-,1x_Cloth,manufactured_good,Loom,1,4*,if you don't have MarketPlace && don't have Glassworks and Loom? weight = 4 : you don't have MarketPlace? weight = 2 : 1 (you need for military in age 3),
16,-,1x_Glass,manufactured_good,Glassworks,1,4*,if you don't have MarketPlace && don't have Loom and Glassworks ? weight = 4 : you don't have MarketPlace? weight = 2 : 1 (you need for military in age 3),
17,-,1x_Papyrus,manufactured_good,Press,1,1,for mad scientist,
15,-,1x_Cloth,manufactured_good,Loom,2,4*,if you don't have MarketPlace && don't have Glassworks and Loom? weight = 4 : you don't have MarketPlace? weight = 2 : 1 (you need for military in age 3),
16,-,1x_Glass,manufactured_good,Glassworks,2,4*,if you don't have MarketPlace && don't have Loom and Glassworks ? weight = 4 : you don't have MarketPlace? weight = 2 : 1 (you need for military in age 3),
17,-,1x_Papyrus,manufactured_good,Press,2,1,for mad scientist,
18,-,2x_Victory_points,civilian_structure,Altar,1,1,not worth it,
19,-,2x_Victory_points,civilian_structure,Theater,1,1,not worth it,
20,-,3x_Victory_points,civilian_structure,Pawnshop,1,2,not worth it,
21,1x_Stone,3x_Victory_points,civilian_structure,Baths,1,2,not worth it,
22,1x_Wood_AND_1x_Clay_AND_1x_Glass,3x_Victory_points,civilian_structure,Temple,2,3*,civilian_structure < 2? weight = 3 : 1,
23,2x_Clay_AND_1x_Cloth,4x_Victory_points,civilian_structure,Courthouse,2,3*,civilian_structure < 2? weight = 3 : 1,
24,2x_Ore_AND_1x_Wood,4x_Victory_points,civilian_structure,Statue,2,3*,civilian_structure < 2? weight = 3 : 1,
25,3x_Stone,5x_Victory_points,civilian_structure,Aqueduct,2,3*,civilian_structure < 2? weight = 3 : 1,
26,2x_Clay_AND_1x_Wood,5x_Victory_points,civilian_structure,Gardens,3,3,,
27,2x_Stone_AND_1x_Ore_AND_1x_Glass,6x_Victory_points,civilian_structure,Town_Hall,3,4,,
28,2x_Wood_AND_1x_Stone_AND_1x_Ore,6x_Victory_points,civilian_structure,Senate,3,4,,
29,2x_Clay_AND_1x_Ore_AND_1x_Glass_AND_1x_Papyrus_AND_1x_Cloth,7x_Victory_points,civilian_structure,Pantheon,3,5,,
30,1x_Stone_AND_1x_Ore_AND_1x_Wood_AND_1x_Clay_AND_1x_Glass_AND_1x_Papyrus_AND_1x_Cloth,8x_Victory_points,civilian_structure,Palace,3,5,,
31,-,5x_Coin,commercial_structure,Tavern,1,1,,
32,-,You_only_pay_1_coin_when_you_buy_a_Raw_Material_from_your_clockwise_neighbor_(right),commercial_structure,East_Trading_Post,1,4,if you cannot have the brown resources && your neighboor have,
33,-,You_only_pay_1_coin_when_you_buy_a_Raw_Material_from_your_counter-clockwise_neighbor_(left),commercial_structure,West_Trading_Post,1,4,if you cannot have the brown resources && your neighboor have,
34,-,You_only_pay_1_coin_when_you_buy_a_Manufactured_Good_from_your_neighbors,commercial_structure,Marketplace,1,4,the MarketPlace is your best friend,
35,2x_Clay,1x_Glass_OR_1x_Cloth_OR_1x_Papyrus,commercial_structure,Forum,2,4*,if you don't have MarketPlace && don't have Loom and Glassworks ? weight = 4 : you don't have MarketPlace? weight = 2 : 1 (you need for military in age 3),
